what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522983558728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522983585129
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522983592575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1522983660205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1522983660381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1522983663583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522983673387
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522983692206
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522983692511
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522983700975
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522983705057
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522983707972
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522983721953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1522983724869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1522983726336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522983727223
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522983745511
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522983745768
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522983754241
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522983759066
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1522983759238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522983768879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522983773824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522983776487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522983776581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1522983782219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1522983833792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1522983840426
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522983847076
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1522983849303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522983849307
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522983889013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522983890875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522983897979
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522983915861
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522983916172
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522983924820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522983936072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522983972939
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1522983972952
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522983986024
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522983986286
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522983995086
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522984002328
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522984004276
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522984005792
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522984009926
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1522984012288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984064386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984086403
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522984088475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984108970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984121517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1522984123558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1522984123803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522984124399
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522984141998
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522984142314
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522984150794
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522984219251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984221441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984227492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984228899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984228991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522984259615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1522984275869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522984278293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984280800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984332212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984360634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984364108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1522984366266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522984372984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522984384946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522984387293
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522984403261
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522984403570
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522984412140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984449880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984468349
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522984468363
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522984475378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984477834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984498401
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1522984511686
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522984511701
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1522984513144
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522984513148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984515443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984578141
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522984578156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984625612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984631029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984665333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984710749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522984757326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984759045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984761277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984764820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984775062
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1522984811873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984834556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984836206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984855818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984883706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984885971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984900414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984901333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984903758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984911693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984931518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984941902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984955557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984967693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984969766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984970596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522984980487
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522984980502
