what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522986929932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522986945718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1522986946487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1522986946843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1522986947226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1522986947638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1522986947994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1522986948308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1522986948635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1522986949054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1522986949413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1522986949806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1522986950139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1522986950567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522986953452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522986954074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522986954812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522986956581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522986958477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522986960701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522986962292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522986963447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522986964764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522986965549
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.open.quick.type.hierarchy",1522986967312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1522986967787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1522986968206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1522986968351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1522986968483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1522986968849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1522986969052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1522986969991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1522986970396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1522986970823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1522986971268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1522986971807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1522986972235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522986973488
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522986989883
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522986990203
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522986998658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987052132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987141151
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522987141166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987172215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987176952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1522987186851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522987193582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987319840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987325512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987358414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987362920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987368124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987372296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522987373041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987374063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987386232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522987392648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987393590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987399344
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.textEnd",1522987400895
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1522987444363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522987445100
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.textStart",1522987445991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987450846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987453887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522987460785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987465983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987529960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987534304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987543376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987561767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987815817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522987816976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987833864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987843065
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1522987843903
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1522987845181
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1522987885655
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1522987885676
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1522987885875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522987891671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987895161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522987896849
