what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1523088526012
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1523088526012
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1523088526013
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1523088526013
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1523088526014
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1523088526014
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1523088526014
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1523088526015
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1523088526015
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1523088526016
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1523088526016
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1523088526017
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1523088526017
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1523088526018
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1523088526018
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1523088526018
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1523088526019
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1523088526019
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1523088526020
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1523088526020
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1523088526020
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1523088526021
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1523088526021
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1523088526021
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1523088526022
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1523088526022
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1523088526022
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1523088526022
os,sysinfo,,,"win32",1523088526024
arch,sysinfo,,,"x86",1523088526024
ws,sysinfo,,,"win32",1523088526024
locale,sysinfo,,,"en_NZ",1523088526024
processors,sysinfo,,,"8",1523088526024
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1523088526024
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1523088526024
java.specification.name,sysinfo,,,"Java Platform API Specification",1523088526024
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1523088526024
java.specification.version,sysinfo,,,"1.6",1523088526024
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1523088526024
java.version,sysinfo,,,"1.6.0_23",1523088526024
java.vm.info,sysinfo,,,"mixed mode",1523088526024
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1523088526024
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1523088526024
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1523088526024
java.vm.specification.version,sysinfo,,,"1.0",1523088526024
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1523088526024
java.vm.version,sysinfo,,,"19.0-b09",1523088526024
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1523088530572
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1523088530591
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1523088530611
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1523088583426
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1523088583427
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1523088583427
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1523088583428
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1523088583428
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1523088583428
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1523088583428
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1523088583429
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1523088583430
